image,brix,hardness,storageMethod,storageDays,amount,label
photos\apple1.jpg,12,9,CA,5,3,하
photos\apple2.jpg,14,10,MA,10,5,하
photos\apple3.jpg,11,8,CA,15,2,중
photos\apple4.jpg,15,11,MA,20,7,중
photos\apple5.jpg,13,9,CA,25,4,중
photos\apple6.jpg,16,12,MA,30,6,중
photos\apple7.jpg,10,7,CA,35,1,중
photos\apple8.jpg,14,10,MA,40,8,중
photos\apple9.jpg,17,11,CA,50,5,중
photos\apple10.jpg,12,8,MA,60,9,중
photos\apple11.jpg,13,10,CA,5,3,중
photos\apple12.jpg,15,11,MA,10,5,중
photos\apple13.jpg,12,9,CA,15,2,중
photos\apple14.jpg,16,12,MA,20,7,중
photos\apple15.jpg,14,10,CA,25,4,중
photos\apple16.jpg,17,13,MA,30,6,중
photos\apple17.jpg,11,8,CA,35,1,중
photos\apple18.jpg,15,11,MA,40,8,중
photos\apple19.jpg,18,12,CA,50,5,중
photos\apple20.jpg,13,9,MA,60,9,중
photos\apple21.jpg,14,8,CA,5,3,중
photos\apple22.jpg,16,9,MA,10,5,중
photos\apple23.jpg,13,7,CA,15,2,중
photos\apple24.jpg,17,10,MA,20,7,중
photos\apple25.jpg,15,8,CA,25,4,중
photos\apple26.jpg,18,11,MA,30,6,중
photos\apple27.jpg,12,6,CA,35,1,중
photos\apple28.jpg,16,9,MA,40,8,중
photos\apple29.jpg,19,10,CA,50,5,중
photos\apple30.jpg,14,7,MA,60,9,중
photos\apple31.jpg,12,9,CA,5,3,중
photos\apple32.jpg,14,10,MA,10,5,중
photos\apple33.jpg,11,8,CA,15,2,중
photos\apple34.jpg,15,11,MA,20,7,중
photos\apple35.jpg,13,9,CA,25,4,중
photos\apple36.jpg,16,12,MA,30,6,중
photos\apple37.jpg,10,7,CA,35,1,중
photos\apple38.jpg,14,10,MA,40,8,중
photos\apple39.jpg,17,11,CA,50,5,중
photos\apple40.jpg,12,8,MA,60,9,중
photos\apple41.jpg,13,10,CA,5,3,중
photos\apple42.jpg,15,11,MA,10,5,하
photos\apple43.jpg,12,9,CA,15,2,하
photos\apple44.jpg,16,12,MA,20,7,하
photos\apple45.jpg,14,10,CA,25,4,하
photos\apple46.jpg,17,13,MA,30,6,중
photos\apple47.jpg,11,8,CA,35,1,하
photos\apple48.jpg,15,11,MA,40,8,하
photos\apple49.jpg,18,12,CA,50,5,하
photos\apple50.jpg,13,9,MA,60,9,하
